iter	Passed	Remaining
0	360	17675
1	653	15681
2	1273	19951
3	2333	26834
4	3281	29533
5	4682	34336
6	6099	37465
7	7591	39856
8	9782	44564
9	10647	42591
10	11690	41447
11	14266	45176
12	15496	44105
13	16552	42563
14	18235	42549
15	19161	40718
16	19946	38719
17	20704	36807
18	21392	34903
19	22207	33311
20	22986	31743
21	23738	30212
22	24532	28798
23	25302	27411
24	26201	26201
25	26853	24788
26	28346	24146
27	29339	23052
28	30214	21879
29	31542	21028
30	32983	20215
31	33841	19035
32	34687	17869
33	35351	16636
34	35958	15410
35	36720	14280
36	37358	13125
37	37907	11970
38	38661	10904
39	39333	9833
40	40065	8794
41	40966	7803
42	42497	6918
43	43043	5869
44	43667	4851
45	44479	3867
46	45540	2906
47	48839	2034
48	51793	1057
49	54082	0
